year,province,month,age_group,dead_people,injury_people
2022,Chonburi,January,60++,6,138
2022,Chonburi,February,1-14,0,94
2022,Chonburi,February,15-18,2,202
2022,Chonburi,February,19-24,3,463
2022,Chonburi,February,25-35,10,713
2022,Chonburi,February,36-60,9,751
2022,Chonburi,February,60++,3,145
2022,Chonburi,March,1-14,0,126
2022,Chonburi,March,15-18,4,200
2022,Chonburi,March,19-24,4,467
2022,Chonburi,March,25-35,8,744
2022,Chonburi,March,36-60,16,770
2022,Chonburi,March,60++,5,152
2022,Chonburi,April,1-14,0,102
2022,Chonburi,April,15-18,4,192
2022,Chonburi,April,19-24,9,454
2022,Chonburi,April,25-35,7,735
2022,Chonburi,April,36-60,14,788
2022,Chonburi,April,60++,2,144
2022,Chonburi,May,1-14,3,129
2022,Chonburi,May,15-18,2,226
2022,Chonburi,May,19-24,9,554
2022,Chonburi,May,25-35,20,858
2022,Chonburi,May,36-60,14,823
2022,Chonburi,May,60++,4,145
2022,Chonburi,June,1-14,3,158
2022,Chonburi,June,15-18,3,304
2022,Chonburi,June,19-24,2,578
2022,Chonburi,June,25-35,15,926
2022,Chonburi,June,36-60,9,910
2022,Chonburi,June,60++,3,139
2022,Chonburi,July,1-14,2,175
2022,Chonburi,July,15-18,5,298
2022,Chonburi,July,19-24,6,646
2022,Chonburi,July,25-35,15,932
2022,Chonburi,July,36-60,17,966
2022,Chonburi,July,60++,2,170
2022,Chonburi,August,1-14,1,187
2022,Chonburi,August,15-18,3,355
2022,Chonburi,August,19-24,6,602
2022,Chonburi,August,25-35,15,988
2022,Chonburi,August,36-60,20,1005
2022,Chonburi,August,60++,6,183
2022,Chonburi,September,1-14,2,186
2022,Chonburi,September,15-18,7,335
2022,Chonburi,September,19-24,3,608
2022,Chonburi,September,25-35,20,970
2022,Chonburi,September,36-60,22,947
2022,Chonburi,September,60++,2,178
2022,Chonburi,October,1-14,2,148
2022,Chonburi,October,15-18,3,301
2022,Chonburi,October,19-24,8,633
2022,Chonburi,October,25-35,18,1047
2022,Chonburi,October,36-60,13,996
2022,Chonburi,October,60++,4,178
2022,Chonburi,November,1-14,0,173
2022,Chonburi,November,15-18,4,386
2022,Chonburi,November,19-24,7,658
2022,Chonburi,November,25-35,20,977
2022,Chonburi,November,36-60,19,969
2022,Chonburi,November,60++,5,193
2022,Chonburi,December,1-14,1,143
2022,Chonburi,December,15-18,0,211
2022,Chonburi,December,19-24,8,444
2022,Chonburi,December,25-35,8,682
2022,Chonburi,December,36-60,18,675
2022,Chonburi,December,60++,6,133
2022,Nakhon-Ratchasima,January,1-14,0,193
2022,Nakhon-Ratchasima,January,15-18,7,269
2022,Nakhon-Ratchasima,January,19-24,11,384
2022,Nakhon-Ratchasima,January,25-35,13,483
2022,Nakhon-Ratchasima,January,36-60,16,774
2022,Nakhon-Ratchasima,January,60++,7,226
2022,Nakhon-Ratchasima,February,1-14,0,170
2022,Nakhon-Ratchasima,February,15-18,4,272
2022,Nakhon-Ratchasima,February,19-24,2,322
2022,Nakhon-Ratchasima,February,25-35,3,436
2022,Nakhon-Ratchasima,February,36-60,13,638
2022,Nakhon-Ratchasima,February,60++,4,229
2022,Nakhon-Ratchasima,March,1-14,3,141
2022,Nakhon-Ratchasima,March,15-18,4,209
2022,Nakhon-Ratchasima,March,19-24,5,359
2022,Nakhon-Ratchasima,March,25-35,6,395
2022,Nakhon-Ratchasima,March,36-60,19,698
2022,Nakhon-Ratchasima,March,60++,4,198
2022,Nakhon-Ratchasima,April,1-14,3,150
2022,Nakhon-Ratchasima,April,15-18,2,254
2022,Nakhon-Ratchasima,April,19-24,7,324
2022,Nakhon-Ratchasima,April,25-35,9,401
2022,Nakhon-Ratchasima,April,36-60,8,605
2022,Nakhon-Ratchasima,April,60++,10,208
2022,Nakhon-Ratchasima,May,1-14,1,240
2022,Nakhon-Ratchasima,May,15-18,3,422
2022,Nakhon-Ratchasima,May,19-24,3,399
2022,Nakhon-Ratchasima,May,25-35,9,470
2022,Nakhon-Ratchasima,May,36-60,7,728
2022,Nakhon-Ratchasima,May,60++,6,277
2022,Nakhon-Ratchasima,June,1-14,1,257
2022,Nakhon-Ratchasima,June,15-18,4,315
2022,Nakhon-Ratchasima,June,19-24,7,336
2022,Nakhon-Ratchasima,June,25-35,9,441
2022,Nakhon-Ratchasima,June,36-60,12,762
2022,Nakhon-Ratchasima,June,60++,5,252
2022,Nakhon-Ratchasima,July,1-14,2,228
2022,Nakhon-Ratchasima,July,15-18,2,362
2022,Nakhon-Ratchasima,July,19-24,2,368
2022,Nakhon-Ratchasima,July,25-35,6,426
2022,Nakhon-Ratchasima,July,36-60,24,712
2022,Nakhon-Ratchasima,July,60++,6,235
2022,Nakhon-Ratchasima,August,1-14,2,201
2022,Nakhon-Ratchasima,August,15-18,4,345
2022,Nakhon-Ratchasima,August,19-24,7,398
2022,Nakhon-Ratchasima,August,25-35,12,464
2022,Nakhon-Ratchasima,August,36-60,15,697
2022,Nakhon-Ratchasima,August,60++,3,230
2022,Nakhon-Ratchasima,September,1-14,1,187
2022,Nakhon-Ratchasima,September,15-18,3,299
2022,Nakhon-Ratchasima,September,19-24,4,400
2022,Nakhon-Ratchasima,September,25-35,10,518
2022,Nakhon-Ratchasima,September,36-60,22,755
2022,Nakhon-Ratchasima,September,60++,3,224
2022,Nakhon-Ratchasima,October,1-14,3,228
2022,Nakhon-Ratchasima,October,15-18,1,380
2022,Nakhon-Ratchasima,October,19-24,12,449
2022,Nakhon-Ratchasima,October,25-35,7,535
2022,Nakhon-Ratchasima,October,36-60,22,833
2022,Nakhon-Ratchasima,October,60++,14,275
2022,Nakhon-Ratchasima,November,1-14,2,162
2022,Nakhon-Ratchasima,November,15-18,4,228
2022,Nakhon-Ratchasima,November,19-24,5,261
2022,Nakhon-Ratchasima,November,25-35,17,305
2022,Nakhon-Ratchasima,November,36-60,28,487
2022,Nakhon-Ratchasima,November,60++,3,147
2022,Nakhon-Ratchasima,December,1-14,2,162
2022,Nakhon-Ratchasima,December,15-18,4,228
2022,Nakhon-Ratchasima,December,19-24,5,261
2022,Nakhon-Ratchasima,December,25-35,17,305
2022,Nakhon-Ratchasima,December,36-60,28,487
2022,Nakhon-Ratchasima,December,60++,3,147
2022,Surat-Thani,January,1-14,0,102
2022,Surat-Thani,January,15-18,1,128
2022,Surat-Thani,January,19-24,2,168
2022,Surat-Thani,January,25-35,2,235
2022,Surat-Thani,January,36-60,7,330
2022,Surat-Thani,January,60++,2,114
2022,Surat-Thani,February,1-14,1,98
2022,Surat-Thani,February,15-18,1,120
2022,Surat-Thani,February,19-24,2,143
2022,Surat-Thani,February,25-35,2,230
2022,Surat-Thani,February,36-60,4,305
2022,Surat-Thani,February,60++,2,91
2022,Surat-Thani,March,1-14,0,90
2022,Surat-Thani,March,15-18,0,86
2022,Surat-Thani,March,19-24,1,170
2022,Surat-Thani,March,25-35,2,224
2022,Surat-Thani,March,36-60,4,283
2022,Surat-Thani,March,60++,4,101
2022,Surat-Thani,April,1-14,2,65
2022,Surat-Thani,April,15-18,2,88
2022,Surat-Thani,April,19-24,1,148
2022,Surat-Thani,April,25-35,5,234
2022,Surat-Thani,April,36-60,8,354
2022,Surat-Thani,April,60++,4,81
2022,Surat-Thani,May,1-14,0,83
2022,Surat-Thani,May,15-18,1,131
2022,Surat-Thani,May,19-24,1,166
2022,Surat-Thani,May,25-35,1,216
2022,Surat-Thani,May,36-60,3,321
2022,Surat-Thani,May,60++,3,84
2022,Surat-Thani,June,1-14,0,128
2022,Surat-Thani,June,15-18,1,155
2022,Surat-Thani,June,19-24,5,199
2022,Surat-Thani,June,25-35,6,249
2022,Surat-Thani,June,36-60,11,401
2022,Surat-Thani,June,60++,6,102
2022,Surat-Thani,July,1-14,0,155
2022,Surat-Thani,July,15-18,6,214
2022,Surat-Thani,July,19-24,2,179
2022,Surat-Thani,July,25-35,2,251
2022,Surat-Thani,July,36-60,8,349
2022,Surat-Thani,July,60++,2,93
2022,Surat-Thani,August,1-14,1,144
2022,Surat-Thani,August,15-18,1,239
2022,Surat-Thani,August,19-24,4,225
2022,Surat-Thani,August,25-35,0,259
2022,Surat-Thani,August,36-60,7,433
2022,Surat-Thani,August,60++,3,111
2022,Surat-Thani,September,1-14,1,125
2022,Surat-Thani,September,15-18,1,193
2022,Surat-Thani,September,19-24,4,224
2022,Surat-Thani,September,25-35,6,288
2022,Surat-Thani,September,36-60,6,413
2022,Surat-Thani,September,60++,7,127
2022,Surat-Thani,October,1-14,0,123
2022,Surat-Thani,October,15-18,2,136
2022,Surat-Thani,October,19-24,3,197
2022,Surat-Thani,October,25-35,0,259
2022,Surat-Thani,October,36-60,12,336
2022,Surat-Thani,October,60++,2,130
2022,Surat-Thani,November,1-14,3,106
2022,Surat-Thani,November,15-18,0,188
2022,Surat-Thani,November,19-24,3,209
2022,Surat-Thani,November,25-35,4,281
2022,Surat-Thani,November,36-60,11,398
2022,Surat-Thani,November,60++,4,121
2022,Surat-Thani,December,1-14,1,121
2022,Surat-Thani,December,15-18,0,153
2022,Surat-Thani,December,19-24,3,104
2022,Surat-Thani,December,25-35,5,169
2022,Surat-Thani,December,36-60,2,229
2022,Surat-Thani,December,60++,3,70
2022,Chiang-Mai,January,1-14,1,112
2022,Chiang-Mai,January,15-18,2,153
2022,Chiang-Mai,January,19-24,8,345
2022,Chiang-Mai,January,25-35,9,463
2022,Chiang-Mai,January,36-60,13,640
2022,Chiang-Mai,January,60++,8,219
2022,Chiang-Mai,February,1-14,1,71
2022,Chiang-Mai,February,15-18,5,148
2022,Chiang-Mai,February,19-24,7,378
2022,Chiang-Mai,February,25-35,6,479
2022,Chiang-Mai,February,36-60,10,591
2022,Chiang-Mai,February,60++,3,218
2022,Chiang-Mai,March,1-14,0,83
2022,Chiang-Mai,March,15-18,3,170
2022,Chiang-Mai,March,19-24,13,348
2022,Chiang-Mai,March,25-35,7,494
2022,Chiang-Mai,March,36-60,11,609
2022,Chiang-Mai,March,60++,4,198
2022,Chiang-Mai,April,1-14,0,83
2022,Chiang-Mai,April,15-18,3,170
2022,Chiang-Mai,April,19-24,13,348
2022,Chiang-Mai,April,25-35,7,494
2022,Chiang-Mai,April,36-60,11,609
2022,Chiang-Mai,April,60++,4,198
2022,Chiang-Mai,May,1-14,0,91
2022,Chiang-Mai,May,15-18,2,174
2022,Chiang-Mai,May,19-24,5,332
2022,Chiang-Mai,May,25-35,4,496
2022,Chiang-Mai,May,36-60,3,612
2022,Chiang-Mai,May,60++,6,260
2022,Chiang-Mai,June,1-14,1,135
2022,Chiang-Mai,June,15-18,7,228
2022,Chiang-Mai,June,19-24,5,398
2022,Chiang-Mai,June,25-35,7,557
2022,Chiang-Mai,June,36-60,10,679
2022,Chiang-Mai,June,60++,3,209
2022,Chiang-Mai,July,1-14,2,140
2022,Chiang-Mai,July,15-18,0,247
2022,Chiang-Mai,July,19-24,9,532
2022,Chiang-Mai,July,25-35,5,534
2022,Chiang-Mai,July,36-60,10,706
2022,Chiang-Mai,July,60++,4,231
2022,Chiang-Mai,August,1-14,3,105
2022,Chiang-Mai,August,15-18,1,231
2022,Chiang-Mai,August,19-24,14,525
2022,Chiang-Mai,August,25-35,12,528
2022,Chiang-Mai,August,36-60,14,653
2022,Chiang-Mai,August,60++,8,251
2022,Chiang-Mai,September,1-14,1,117
2022,Chiang-Mai,September,15-18,0,239
2022,Chiang-Mai,September,19-24,6,483
2022,Chiang-Mai,September,25-35,12,492
2022,Chiang-Mai,September,36-60,11,671
2022,Chiang-Mai,September,60++,5,260
2022,Chiang-Mai,October,1-14,1,116
2022,Chiang-Mai,October,15-18,1,235
2022,Chiang-Mai,October,19-24,8,515
2022,Chiang-Mai,October,25-35,13,625
2022,Chiang-Mai,October,36-60,7,830
2022,Chiang-Mai,October,60++,5,279
2022,Chiang-Mai,November,1-14,1,149
2022,Chiang-Mai,November,15-18,7,242
2022,Chiang-Mai,November,19-24,16,588
2022,Chiang-Mai,November,25-35,7,614
2022,Chiang-Mai,November,36-60,11,893
2022,Chiang-Mai,November,60++,5,271
2022,Chiang-Mai,December,1-14,2,124
2022,Chiang-Mai,December,15-18,1,208
2022,Chiang-Mai,December,19-24,10,412
2022,Chiang-Mai,December,25-35,12,459
2022,Chiang-Mai,December,36-60,18,552
2022,Chiang-Mai,December,60++,12,200
2023,Bangkok,January,1-14,0,344
2023,Bangkok,January,15-18,1,597
2023,Bangkok,January,19-24,9,1473
2023,Bangkok,January,25-35,22,2448
2023,Bangkok,January,36-60,21,2706
2023,Bangkok,January,60++,10,466
2023,Bangkok,February,1-14,3,344
2023,Bangkok,February,15-18,4,676
2023,Bangkok,February,19-24,8,1509
2023,Bangkok,February,25-35,23,2427
2023,Bangkok,February,36-60,30,2662
2023,Bangkok,February,60++,9,432
2023,Bangkok,March,1-14,0,363
2023,Bangkok,March,15-18,4,632
2023,Bangkok,March,19-24,12,1749
2023,Bangkok,March,25-35,17,2773
2023,Bangkok,March,36-60,28,2813
2023,Bangkok,March,60++,11,450
2023,Bangkok,April,1-14,2,348
2023,Bangkok,April,15-18,2,666
2023,Bangkok,April,19-24,13,1588
2023,Bangkok,April,25-35,37,2462
2023,Bangkok,April,36-60,30,2386
2023,Bangkok,April,60++,7,427
2023,Bangkok,May,1-14,2,332
2023,Bangkok,May,15-18,6,696
2023,Bangkok,May,19-24,14,1658
2023,Bangkok,May,25-35,22,2545
2023,Bangkok,May,36-60,27,2684
2023,Bangkok,May,60++,4,451
2023,Bangkok,June,1-14,0,458
2023,Bangkok,June,15-18,1,809
2023,Bangkok,June,19-24,12,1661
2023,Bangkok,June,25-35,26,2561
2023,Bangkok,June,36-60,28,2668
2023,Bangkok,June,60++,3,430
2023,Bangkok,July,1-14,3,374
2023,Bangkok,July,15-18,4,835
2023,Bangkok,July,19-24,11,1678
2023,Bangkok,July,25-35,27,2531
2023,Bangkok,July,36-60,30,2583
2023,Bangkok,July,60++,8,413
2023,Bangkok,August,1-14,1,423
2023,Bangkok,August,15-18,3,798
2023,Bangkok,August,19-24,11,1624
2023,Bangkok,August,25-35,19,2474
2023,Bangkok,August,36-60,24,2463
2023,Bangkok,August,60++,3,416
2023,Bangkok,September,1-14,1,443
2023,Bangkok,September,15-18,3,724
2023,Bangkok,September,19-24,15,1642
2023,Bangkok,September,25-35,20,2527
2023,Bangkok,September,36-60,35,2481
2023,Bangkok,September,60++,8,515
2023,Bangkok,October,1-14,1,320
2023,Bangkok,October,15-18,9,696
2023,Bangkok,October,19-24,8,1690
2023,Bangkok,October,25-35,19,2639
2023,Bangkok,October,36-60,28,2553
2023,Bangkok,October,60++,9,472
2023,Bangkok,November,1-14,0,446
2023,Bangkok,November,15-18,3,835
2023,Bangkok,November,19-24,8,1648
2023,Bangkok,November,25-35,23,2615
2023,Bangkok,November,36-60,35,2698
2023,Bangkok,November,60++,8,482
2023,Bangkok,December,1-14,1,495
2023,Bangkok,December,15-18,4,905
2023,Bangkok,December,19-24,9,1956
2023,Bangkok,December,25-35,43,2847
2023,Bangkok,December,36-60,29,2893
2023,Bangkok,December,60++,3,538
2023,Kanchanaburi,January,1-14,1,27
2023,Kanchanaburi,January,15-18,1,42
2023,Kanchanaburi,January,19-24,3,43
2023,Kanchanaburi,January,25-35,7,68
2023,Kanchanaburi,January,36-60,10,114
2023,Kanchanaburi,January,60++,4,49
2023,Kanchanaburi,February,1-14,0,11
2023,Kanchanaburi,February,15-18,0,47
2023,Kanchanaburi,February,19-24,1,41
2023,Kanchanaburi,February,25-35,3,63
2023,Kanchanaburi,February,36-60,8,103
2023,Kanchanaburi,February,60++,3,41
2023,Kanchanaburi,March,1-14,0,25
2023,Kanchanaburi,March,15-18,0,34
2023,Kanchanaburi,March,19-24,2,59
2023,Kanchanaburi,March,25-35,4,66
2023,Kanchanaburi,March,36-60,10,101
2023,Kanchanaburi,March,60++,4,38
2023,Kanchanaburi,April,1-14,2,20
2023,Kanchanaburi,April,15-18,1,37
2023,Kanchanaburi,April,19-24,3,47
2023,Kanchanaburi,April,25-35,1,56
2023,Kanchanaburi,April,36-60,9,83
2023,Kanchanaburi,April,60++,4,30
2023,Kanchanaburi,May,1-14,0,48
2023,Kanchanaburi,May,15-18,7,36
2023,Kanchanaburi,May,19-24,1,48
2023,Kanchanaburi,May,25-35,3,73
2023,Kanchanaburi,May,36-60,10,108
2023,Kanchanaburi,May,60++,5,33
2023,Kanchanaburi,June,1-14,0,41
2023,Kanchanaburi,June,15-18,0,25
2023,Kanchanaburi,June,19-24,1,32
2023,Kanchanaburi,June,25-35,2,66
2023,Kanchanaburi,June,36-60,14,82
2023,Kanchanaburi,June,60++,5,31
2023,Kanchanaburi,July,1-14,0,53
2023,Kanchanaburi,July,15-18,0,72
2023,Kanchanaburi,July,19-24,4,45
2023,Kanchanaburi,July,25-35,1,73
2023,Kanchanaburi,July,36-60,9,108
2023,Kanchanaburi,July,60++,3,36
2023,Kanchanaburi,August,1-14,1,23
2023,Kanchanaburi,August,15-18,0,35
2023,Kanchanaburi,August,19-24,1,49
2023,Kanchanaburi,August,25-35,1,41
2023,Kanchanaburi,August,36-60,4,110
2023,Kanchanaburi,August,60++,2,43
2023,Kanchanaburi,September,1-14,1,24
2023,Kanchanaburi,September,15-18,0,49
2023,Kanchanaburi,September,19-24,1,60
2023,Kanchanaburi,September,25-35,2,51
2023,Kanchanaburi,September,36-60,8,92
2023,Kanchanaburi,September,60++,1,36
2023,Kanchanaburi,October,1-14,1,23
2023,Kanchanaburi,October,15-18,0,32
2023,Kanchanaburi,October,19-24,0,48
2023,Kanchanaburi,October,25-35,3,36
2023,Kanchanaburi,October,36-60,6,90
2023,Kanchanaburi,October,60++,3,43
2023,Kanchanaburi,November,1-14,2,44
2023,Kanchanaburi,November,15-18,2,62
2023,Kanchanaburi,November,19-24,4,63
2023,Kanchanaburi,November,25-35,2,61
2023,Kanchanaburi,November,36-60,3,140
2023,Kanchanaburi,November,60++,2,49
2023,Kanchanaburi,December,1-14,2,25
2023,Kanchanaburi,December,15-18,2,66
2023,Kanchanaburi,December,19-24,0,59
2023,Kanchanaburi,December,25-35,4,74
2023,Kanchanaburi,December,36-60,12,91
2023,Kanchanaburi,December,60++,0,37
2023,Chonburi,January,1-14,0,134
2023,Chonburi,January,15-18,4,236
2023,Chonburi,January,19-24,5,412
2023,Chonburi,January,25-35,15,636
2023,Chonburi,January,36-60,15,677
2023,Chonburi,January,60++,4,126
2023,Chonburi,February,1-14,2,124
2023,Chonburi,February,15-18,4,192
2023,Chonburi,February,19-24,6,406
2023,Chonburi,February,25-35,13,664
2023,Chonburi,February,36-60,16,676
2023,Chonburi,February,60++,3,109
2023,Chonburi,March,1-14,2,154
2023,Chonburi,March,15-18,2,186
2023,Chonburi,March,19-24,9,414
2023,Chonburi,March,25-35,22,716
2023,Chonburi,March,36-60,14,731
2023,Chonburi,March,60++,7,130
2023,Chonburi,April,1-14,1,126
2023,Chonburi,April,15-18,0,209
2023,Chonburi,April,19-24,3,423
2023,Chonburi,April,25-35,16,673
2023,Chonburi,April,36-60,22,668
2023,Chonburi,April,60++,2,94
2023,Chonburi,May,1-14,1,125
2023,Chonburi,May,15-18,1,209
2023,Chonburi,May,19-24,6,450
2023,Chonburi,May,25-35,18,667
2023,Chonburi,May,36-60,7,696
2023,Chonburi,May,60++,2,121
2023,Chonburi,June,1-14,2,118
2023,Chonburi,June,15-18,3,240
2023,Chonburi,June,19-24,11,439
2023,Chonburi,June,25-35,13,666
2023,Chonburi,June,36-60,17,647
2023,Chonburi,June,60++,5,111
2023,Chonburi,July,1-14,2,145
2023,Chonburi,July,15-18,2,279
2023,Chonburi,July,19-24,10,459
2023,Chonburi,July,25-35,17,673
2023,Chonburi,July,36-60,14,684
2023,Chonburi,July,60++,5,120
2023,Chonburi,August,1-14,0,145
2023,Chonburi,August,15-18,3,245
2023,Chonburi,August,19-24,2,462
2023,Chonburi,August,25-35,12,721
2023,Chonburi,August,36-60,11,647
2023,Chonburi,August,60++,1,110
2023,Chonburi,September,1-14,4,112
2023,Chonburi,September,15-18,2,224
2023,Chonburi,September,19-24,7,407
2023,Chonburi,September,25-35,9,638
2023,Chonburi,September,36-60,10,656
2023,Chonburi,September,60++,4,105
2023,Chonburi,October,1-14,1,129
2023,Chonburi,October,15-18,1,183
2023,Chonburi,October,19-24,5,451
2023,Chonburi,October,25-35,13,720
2023,Chonburi,October,36-60,10,720
2023,Chonburi,October,60++,3,137
2023,Chonburi,November,1-14,1,128
2023,Chonburi,November,15-18,1,223
2023,Chonburi,November,19-24,4,485
2023,Chonburi,November,25-35,15,697
2023,Chonburi,November,36-60,20,656
2023,Chonburi,November,60++,2,145
2023,Chonburi,December,1-14,1,148
2023,Chonburi,December,15-18,2,257
2023,Chonburi,December,19-24,11,527
2023,Chonburi,December,25-35,21,817
2023,Chonburi,December,36-60,12,817
2023,Chonburi,December,60++,12,128
2023,Nakhon-Ratchasima,January,1-14,2,121
2023,Nakhon-Ratchasima,January,15-18,6,201
2023,Nakhon-Ratchasima,January,19-24,4,247
2023,Nakhon-Ratchasima,January,25-35,9,281
2023,Nakhon-Ratchasima,January,36-60,21,447
2023,Nakhon-Ratchasima,January,60++,11,149
2023,Nakhon-Ratchasima,February,1-14,2,153
2023,Nakhon-Ratchasima,February,15-18,4,197
2023,Nakhon-Ratchasima,February,19-24,5,217
2023,Nakhon-Ratchasima,February,25-35,10,287
2023,Nakhon-Ratchasima,February,36-60,27,475
2023,Nakhon-Ratchasima,February,60++,4,144
2023,Nakhon-Ratchasima,March,1-14,4,203
2023,Nakhon-Ratchasima,March,15-18,4,219
2023,Nakhon-Ratchasima,March,19-24,5,236
2023,Nakhon-Ratchasima,March,25-35,7,279
2023,Nakhon-Ratchasima,March,36-60,21,480
2023,Nakhon-Ratchasima,March,60++,8,150
2023,Nakhon-Ratchasima,April,1-14,1,160
2023,Nakhon-Ratchasima,April,15-18,4,198
2023,Nakhon-Ratchasima,April,19-24,5,281
2023,Nakhon-Ratchasima,April,25-35,10,315
2023,Nakhon-Ratchasima,April,36-60,21,504
2023,Nakhon-Ratchasima,April,60++,7,149
2023,Nakhon-Ratchasima,May,1-14,1,135
2023,Nakhon-Ratchasima,May,15-18,1,199
2023,Nakhon-Ratchasima,May,19-24,4,223
2023,Nakhon-Ratchasima,May,25-35,7,252
2023,Nakhon-Ratchasima,May,36-60,20,441
2023,Nakhon-Ratchasima,May,60++,5,120
2023,Nakhon-Ratchasima,June,1-14,0,197
2023,Nakhon-Ratchasima,June,15-18,5,260
2023,Nakhon-Ratchasima,June,19-24,3,215
2023,Nakhon-Ratchasima,June,25-35,5,300
2023,Nakhon-Ratchasima,June,36-60,14,449
2023,Nakhon-Ratchasima,June,60++,9,161
2023,Nakhon-Ratchasima,July,1-14,2,176
2023,Nakhon-Ratchasima,July,15-18,2,300
2023,Nakhon-Ratchasima,July,19-24,4,227
2023,Nakhon-Ratchasima,July,25-35,12,274
2023,Nakhon-Ratchasima,July,36-60,16,437
2023,Nakhon-Ratchasima,July,60++,4,129
2023,Nakhon-Ratchasima,August,1-14,5,250
2023,Nakhon-Ratchasima,August,15-18,4,282
2023,Nakhon-Ratchasima,August,19-24,3,245
2023,Nakhon-Ratchasima,August,25-35,7,264
2023,Nakhon-Ratchasima,August,36-60,13,425
2023,Nakhon-Ratchasima,August,60++,6,143
2023,Nakhon-Ratchasima,September,1-14,2,162
2023,Nakhon-Ratchasima,September,15-18,4,240
2023,Nakhon-Ratchasima,September,19-24,1,203
2023,Nakhon-Ratchasima,September,25-35,7,234
2023,Nakhon-Ratchasima,September,36-60,9,354
2023,Nakhon-Ratchasima,September,60++,1,128
2023,Nakhon-Ratchasima,October,1-14,3,160
2023,Nakhon-Ratchasima,October,15-18,6,183
2023,Nakhon-Ratchasima,October,19-24,7,217
2023,Nakhon-Ratchasima,October,25-35,9,304
2023,Nakhon-Ratchasima,October,36-60,13,408
2023,Nakhon-Ratchasima,October,60++,5,108
2023,Nakhon-Ratchasima,November,1-14,1,192
2023,Nakhon-Ratchasima,November,15-18,1,290
2023,Nakhon-Ratchasima,November,19-24,6,277
2023,Nakhon-Ratchasima,November,25-35,7,351
2023,Nakhon-Ratchasima,November,36-60,18,529
2023,Nakhon-Ratchasima,November,60++,10,184
2023,Nakhon-Ratchasima,December,1-14,1,210
2023,Nakhon-Ratchasima,December,15-18,3,285
2023,Nakhon-Ratchasima,December,19-24,5,287
2023,Nakhon-Ratchasima,December,25-35,4,362
